Player,Team,Mat,Overs,Mdns,Runs,Wkts,Avg,Economy Rate,Strike Rate,Four Wicket
"Krishna, P",Gujarat Titans,15,59.0,0,487,25,19.52,8.27,14.16,1
"Ahmad, Noor",Chennai Super Kings,14,50.0,0,408,24,17.00,8.16,12.50,4
"Hazlewood, J R",Royal Challengers Bengaluru,12,44.0,0,386,22,17.55,8.77,12.00,4
"Boult, T A",Mumbai Indians,16,57.4,0,517,22,23.50,8.97,15.73,3
"Singh, A",Punjab Kings,17,58.2,0,517,21,24.67,8.88,16.67,3
"Kishore, R S",Gujarat Titans,15,42.3,0,394,19,20.74,9.25,13.42,1
"Bumrah, J J",Mumbai Indians,12,47.2,0,316,18,17.56,6.68,15.78,2
"Chakaravarthy, V",Kolkata Knight Riders,13,50.0,0,383,17,22.53,7.66,17.65,0
"Pandya, K H",Royal Challengers Bengaluru,15,46.0,0,379,17,22.29,8.24,16.24,2
"Kumar, Bhuvneshwar",Royal Challengers Bengaluru,14,52.0,0,483,17,28.41,9.29,18.35,0
"Arora, V",Kolkata Knight Riders,12,42.3,0,430,17,25.29,10.12,15.00,2
"Cummins, P J",Sunrisers Hyderabad,14,49.4,0,450,16,28.13,9.06,18.63,0
"Jansen, M",Punjab Kings,14,47.1,0,433,16,27.06,9.20,17.69,0
"Siraj, M",Gujarat Titans,15,57.0,0,527,16,32.94,9.25,21.38,2
"Chahal, Y S",Punjab Kings,14,45.0,0,430,16,26.88,9.56,16.88,2
"Patel, H H",Sunrisers Hyderabad,13,43.5,0,430,16,26.88,9.81,16.44,2
"Yadav, K",Delhi Capitals,14,51.0,0,361,15,24.07,7.08,20.40,0
"Ahmed, K",Chennai Super Kings,14,46.4,0,448,15,29.80,9.58,18.67,0
"Rana, Harshit",Kolkata Knight Riders,13,44.0,0,448,15,29.87,10.18,17.60,0
"Singh, D",Lucknow Super Giants,13,52.0,0,428,14,30.57,8.25,22.29,0
