Player,Team,Mat,Inns,NO,Runs,HS,Hundereds,Fifties,Avg,Strike Rate,Fours,Sixes
"Klaasen, H",Sunrisers Hyderabad,11,11,2,494,69,0,5,54.89,157.32,36,23
"Rahul, K L",Delhi Capitals,12,12,1,477,152,1,4,43.36,177.99,50,24
"Sharma, Abhishek",Sunrisers Hyderabad,11,11,1,475,135,1,3,47.50,210.18,43,36
"Gill, S",Gujarat Titans,10,10,0,462,86,0,4,46.20,160.42,44,20
"Sooryavanshi, V",Rajasthan Royals,11,11,0,440,103,1,2,40.00,236.56,38,40
"Sudharsan, B S",Gujarat Titans,11,11,0,440,100,1,4,40.00,157.71,44,20
"Samson, S V",Chennai Super Kings,11,11,3,430,115,2,1,53.75,169.29,45,23
"Connolly, C",Punjab Kings,11,10,2,415,107,1,2,51.88,168.02,34,28
"Kishan, I",Sunrisers Hyderabad,11,11,0,409,91,0,4,37.18,186.76,41,22
"Iyer, S S",Punjab Kings,11,10,3,392,71,0,5,56.00,164.02,27,25
